name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,multilevel_tresholding,15,40.124,24.668,-38.52059,0.993,0.925,-6.84794,48.578,59.763,23.02483
Case_1-02,avg,multilevel_tresholding,15,40.294,23.98,-40.48742,0.993,0.92,-7.35146,53.816,58.488,8.68143
Case_1-03,avg,multilevel_tresholding,15,40.758,26.423,-35.17101,0.994,0.951,-4.32596,47.54,62.581,31.63862
Case_1-04,avg,multilevel_tresholding,15,40.757,26.114,-35.92757,0.995,0.952,-4.32161,53.792,63.282,17.64203
Case_1-05,avg,multilevel_tresholding,15,40.656,26.232,-35.47816,0.994,0.949,-4.52716,46.334,64.048,38.2311
Case_1-06,avg,multilevel_tresholding,15,40.142,24.288,-39.49479,0.994,0.929,-6.53924,52.807,59.172,12.05333
Case_1-07,avg,multilevel_tresholding,15,40.462,25.375,-37.28684,0.995,0.943,-5.22613,49.158,63.526,29.2282
Case_1-08,avg,multilevel_tresholding,15,40.894,26.459,-35.29858,0.994,0.947,-4.72837,49.059,63.034,28.48611
Case_10-01,avg,multilevel_tresholding,15,39.593,22.987,-41.94176,0.991,0.816,-17.65893,44.341,63.675,43.60299
Case_10-02,avg,multilevel_tresholding,15,40.734,22.924,-43.72269,0.993,0.823,-17.11984,45.806,61.437,34.12435
Case_10-03,avg,multilevel_tresholding,15,38.835,22.824,-41.22827,0.989,0.807,-18.40243,43.98,64.15,45.86176
Case_10-04,avg,multilevel_tresholding,15,39.831,22.378,-43.81763,0.992,0.813,-18.04435,44.569,62.353,39.90217
Case_10-05,avg,multilevel_tresholding,15,41.79,25.733,-38.42307,0.993,0.895,-9.86908,49.507,66.045,33.40538
Case_10-06,avg,multilevel_tresholding,15,40.731,23.012,-43.50249,0.993,0.836,-15.81067,46.657,60.755,30.21626
Case_10-07,avg,multilevel_tresholding,15,40.561,23.011,-43.26816,0.993,0.838,-15.60926,45.585,63.668,39.66875
Case_10-08,avg,multilevel_tresholding,15,40.523,23.08,-43.04469,0.993,0.839,-15.50856,45.624,63.823,39.88909
Case_10-09,avg,multilevel_tresholding,15,40.008,23.299,-41.76415,0.993,0.84,-15.40785,44.324,64.704,45.9796
Case_10-10,avg,multilevel_tresholding,15,40.71,24.76,-39.17956,0.991,0.845,-14.73259,44.168,67.131,51.99013
Case_11-07,avg,multilevel_tresholding,15,40.937,24.466,-40.235,0.989,0.84,-15.06572,48.022,56.708,18.08754
Case_11-09,avg,multilevel_tresholding,15,44.503,30.841,-30.69905,0.985,0.943,-4.26396,37.659,52.395,39.13009
Case_11-10,avg,multilevel_tresholding,15,42.576,27.923,-34.4161,0.986,0.905,-8.21501,36.004,55.533,54.2412
Case_11-11,avg,multilevel_tresholding,15,42.828,27.725,-35.26431,0.987,0.903,-8.51064,36.227,55.272,52.57129
Case_11-12,avg,multilevel_tresholding,15,42.453,27.31,-35.67004,0.988,0.896,-9.31174,35.143,56.137,59.73878
Case_11-13,avg,multilevel_tresholding,15,43.838,29.392,-32.95315,0.985,0.923,-6.29442,33.158,55.567,67.58248
Case_11-15,avg,multilevel_tresholding,15,42.004,26.455,-37.0179,0.992,0.905,-8.77016,45.871,57.844,26.10146
Case_12-01,avg,multilevel_tresholding,15,41.011,27.845,-32.10358,0.994,0.952,-4.22535,44.763,68.733,53.54869
Case_12-02,avg,multilevel_tresholding,15,40.787,27.812,-31.81161,0.995,0.954,-4.1206,47.114,68.846,46.12642
Case_12-03,avg,multilevel_tresholding,15,40.661,27.608,-32.10201,0.994,0.952,-4.22535,46.468,68.28,46.93983
Case_12-04,avg,multilevel_tresholding,15,41.757,26.287,-37.04768,0.995,0.928,-6.73367,48.837,66.952,37.09278
Case_12-05,avg,multilevel_tresholding,15,41.28,25.867,-37.33769,0.995,0.915,-8.0402,47.772,66.915,40.07159
Case_12-06,avg,multilevel_tresholding,15,40.684,26.149,-35.72658,0.994,0.926,-6.84105,46.888,67.845,44.69587
Case_12-07,avg,multilevel_tresholding,15,41.006,26.073,-36.41662,0.994,0.915,-7.94769,47.251,68.091,44.10489
Case_12-08,avg,multilevel_tresholding,15,40.991,26.407,-35.57854,0.995,0.929,-6.63317,47.245,68.017,43.96656
Case_12-09,avg,multilevel_tresholding,15,41.197,26.396,-35.92737,0.995,0.935,-6.03015,47.838,68.224,42.61466
Case_12-10,avg,multilevel_tresholding,15,40.505,27.137,-33.00333,0.994,0.951,-4.32596,47.234,67.388,42.66842
Case_12-11,avg,multilevel_tresholding,15,41.32,25.798,-37.56534,0.995,0.931,-6.43216,45.996,66.763,45.14958
Case_12-12,avg,multilevel_tresholding,15,40.941,26.614,-34.99426,0.994,0.932,-6.23742,45.606,68.455,50.10086
Case_13-01,avg,multilevel_tresholding,15,40.311,24.396,-39.48054,0.991,0.849,-14.32896,44.01,65.642,49.15247
Case_13-02,avg,multilevel_tresholding,15,40.347,23.938,-40.66969,0.991,0.818,-17.45711,43.522,63.811,46.6178
Case_13-03,avg,multilevel_tresholding,15,40.575,23.889,-41.12384,0.992,0.833,-16.02823,44.191,65.269,47.69749
Case_13-04,avg,multilevel_tresholding,15,40.927,26.242,-35.88096,0.99,0.878,-11.31313,45.104,66.039,46.41495
Case_13-05,avg,multilevel_tresholding,15,40.451,26.158,-35.33411,0.99,0.891,-10,43.19,66.064,52.96133
Case_13-06,avg,multilevel_tresholding,15,40.716,24.213,-40.53198,0.992,0.849,-14.41532,44.646,64.525,44.52583
Case_13-07,avg,multilevel_tresholding,15,40.046,25.138,-37.22719,0.991,0.87,-12.20989,43.378,66.073,52.31915
Case_13-10,avg,multilevel_tresholding,15,40.343,24.771,-38.59901,0.989,0.846,-14.45905,44.592,67.287,50.89478
Case_13-11,avg,multilevel_tresholding,15,40.368,23.669,-41.36692,0.99,0.822,-16.9697,44.525,65.532,47.18024
Case_13-12,avg,multilevel_tresholding,15,41.185,23.839,-42.11728,0.991,0.825,-16.75076,48.505,63.085,30.05876
Case_14-01,avg,multilevel_tresholding,15,40.608,26.014,-35.93873,0.984,0.824,-16.26016,48.956,67.415,37.70529
Case_14-02,avg,multilevel_tresholding,15,40.599,25.483,-37.23244,0.984,0.783,-20.42683,45.773,67.009,46.39416
Case_14-03,avg,multilevel_tresholding,15,40.862,25.388,-37.86892,0.987,0.82,-16.91996,46.629,66.818,43.29709
Case_14-04,avg,multilevel_tresholding,15,41.4,25.56,-38.26087,0.994,0.898,-9.65795,46.697,67.034,43.55098
Case_14-05,avg,multilevel_tresholding,15,40.827,25.021,-38.71458,0.987,0.823,-16.61601,47.305,65.673,38.82888
Case_14-06,avg,multilevel_tresholding,15,40.759,25.315,-37.89102,0.991,0.868,-12.41171,47.136,66.416,40.90292
Case_14-07,avg,multilevel_tresholding,15,40.576,25.208,-37.87461,0.988,0.818,-17.20648,45.825,65.927,43.86688
Case_14-08,avg,multilevel_tresholding,15,40.983,25.591,-37.55704,0.99,0.856,-13.53535,47.441,67.22,41.69179
Case_14-09,avg,multilevel_tresholding,15,40.879,25.534,-37.53761,0.988,0.822,-16.80162,46.323,66.77,44.14006
Case_14-11,avg,multilevel_tresholding,15,40.635,25.306,-37.72364,0.985,0.79,-19.79695,45.087,66.432,47.34181
Case_14-12,avg,multilevel_tresholding,15,40.992,25.669,-37.38046,0.985,0.794,-19.39086,46.286,67.123,45.01793
Case_15-02,avg,multilevel_tresholding,15,42.06,27.602,-34.3747,0.99,0.907,-8.38384,42.936,68.818,60.28042
Case_15-03,avg,multilevel_tresholding,15,40.923,25.698,-37.20402,0.988,0.872,-11.74089,50.247,68.131,35.59217
Case_15-04,avg,multilevel_tresholding,15,41.905,28.476,-32.0463,0.99,0.919,-7.17172,40.702,67.46,65.74124
Case_15-05,avg,multilevel_tresholding,15,42.153,28.88,-31.48768,0.992,0.933,-5.94758,41.69,66.146,58.66155
Case_15-06,avg,multilevel_tresholding,15,42.066,29.05,-30.94185,0.992,0.934,-5.84677,40.056,65.095,62.50999
Case_15-07,avg,multilevel_tresholding,15,42.31,29.331,-30.67596,0.994,0.95,-4.42656,46.824,64.222,37.15616
Case_15-08,avg,multilevel_tresholding,15,41.907,28.768,-31.35276,0.992,0.937,-5.54435,43.074,64.996,50.89381
Case_15-09,avg,multilevel_tresholding,15,41.596,27.292,-34.38792,0.991,0.913,-7.87084,46.059,68.829,49.43659
Case_15-10,avg,multilevel_tresholding,15,40.97,26.947,-34.22748,0.992,0.921,-7.15726,50.055,67.316,34.48407
Case_15-11,avg,multilevel_tresholding,15,40.711,26.02,-36.08607,0.991,0.896,-9.58628,49.681,67.515,35.89702
Case_15-12,avg,multilevel_tresholding,15,42.175,28.283,-32.93894,0.993,0.937,-5.63948,43.373,68.289,57.44588
